Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,,,OCHA Burkina Faso,,none,2cf04f4b-086c-4ba8-85c8-e7ffe6915cb0,Burkina Faso health districts (districts de santé)
,,,,OCHA Chad,,none,56cb93ae-ce4e-4a94-abf1-451cba31f9c0,Chad - Villages
,,,,OCHA Iraq,,none,90d4b668-29b8-497a-9476-26d692bf1190,Iraq - Roads Network
,,,,OCHA Middle East and North Africa (ROMENA),,none,0b5c2858-5f89-4fe4-bffb-fc1730f635aa|6134172d-e5f5-4bf2-bb69-8b739966dd69,Morocco - Elevation Model,Libya - Elevation Model
,,,,OCHA Field Information Services Section (FISS),,none,d9878bae-e7c1-430a-9175-22b77565af11,Puerto Rico - Roads
,,,,ITOS,,none,ddadcacd-3329-426d-ba36-6e0bff80e883,COD Admin 0 geojson simplified geometries from gistmaps live service source
,,,,OCHA Democratic Republic of the Congo (DRC),,none,f42132b9-8cc6-4201-b020-9259c56e8868,Democratic Republic of the Congo - Subnational Administrative Boundaries
,,,,OCHA occupied Palestinian territory (oPt),,none,b8d45c0f-15e6-43ba-af44-e61b3001059e,State of Palestine - Crossing Points
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,9f3896ae-d77b-414a-85ef-8ede33389ed0,2018 Malawi Traditional Authority
,,,,OCHA occupied Palestinian territory (oPt),,none,c7e2f4b3-6a74-4b98-b064-1e9c2d066242,State of Palestine - Palestinian Communities in the West Bank and the Gaza Strip
,,,,Myanmar Information Management Unit (MIMU),,none,6c283407-21bc-4e9e-88ab-ef50a115f371,Myanmar - Transportation network
,,,,OCHA Office of the Pacific Islands,,none,dc71c13f-e848-4ddc-9074-17e608464b63,Micronesia (Federated States of) - Subnational Administrative Boundaries
,,,,OCHA South Sudan,,none,65060068-8bdb-43a2-9e82-b1d5dedca0c9,South Sudan - Settlement Data
,,,,OCHA Cameroon,,none,b13f08ef-92ee-4446-9b0a-e219f5c25415,Cameroon - Subnational Administrative Boundaries
,,,,Myanmar Information Management Unit (MIMU),,none,a3d9f46b-11e3-4856-86d2-0790a4bcac69,Myanmar Sea Port
,,,,OCHA Pakistan,,none,bdefc15c-66d4-457b-8eb4-4f2af6003ea7,Pakistan- Settlement
,,,,OCHA Liberia,,none,ee904c54-a82a-41f5-9bef-bbd6dc72c874|4504b20c-734b-4bc3-ba17-eb03a04d6377,Liberia - Roads,Liberia - Railways
,,,,OCHA Liberia,,none,8ec032cd-fc72-47b6-9662-35d0c5ea772a,Liberia - Lakes
,,,,OCHA Liberia,,none,b27f9b36-91db-4efb-9d60-02a8c23b7d09,Liberia - Aerodromes
,,,,OCHA Ethiopia,,none,afcf2557-61b4-4589-8092-b32993c4b3fe,Ethiopia - Elevation Model
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,0535f2f4-1612-49bc-835c-7d4f10c812a1|9b7cb749-e054-4318-8450-6c97d387706d,Rwanda - Water Bodies (Lakes),Kenya - Water Bodies (Lakes)
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,b6b7401b-aeea-4cfa-b34b-0470c7e7ee12|adf5f7fb-4914-4295-9325-cc252748037c,Kenya - Rivers,Djibouti - Water Courses
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,b2296909-6236-4ac0-b234-e1723a9c722a,Djibouti - Aerodromes
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,896fa20c-0111-464e-9bbc-63117a8d9419,"Djibouti - Contour Lines, Spot Heights"
,,,,OCHA Nigeria,,none,741c6f20-6956-420d-aae4-37015cdd1ad4,Nigeria - Water Courses(Rivers)
,,,,OCHA West and Central Africa (ROWCA),,none,6d496f1d-b0f9-4954-b40f-242766e3343b,Burkina Faso - Health
